City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,penal,10.1667,-61.4667,79.9,92,12,9.55,TT,1686708724
180,north ridgeville,41.3895,-82.019,59.67,89,100,9.22,US,1686708724
181,jabor,5.921,169.6434,83.25,74,100,15.5,MH,1686708724
182,tacarigua,10.0862,-67.9198,73.44,90,77,1.63,VE,1686708724
183,les cayes,18.2,-73.75,79.77,84,6,3.18,HT,1686708725
184,kittila,67.6647,24.8936,42.94,75,0,3.44,FI,1686708725
185,khanbari,27.3747,87.2039,77.86,70,71,1.95,NP,1686708725
186,shunyi,40.125,116.6453,82.35,47,0,2.24,CN,1686708725
187,hithadhoo,-0.6,73.0833,83.48,75,22,7.45,MV,1686708726
188,arraial do cabo,-22.9661,-42.0278,70.88,89,9,5.77,BR,1686708565
189,kiunga,-6.1219,141.2906,79.38,88,100,3.18,PG,1686708726
190,west island,-12.1568,96.8225,80.58,83,40,22.26,CC,1686708726
191,tsiombe,-25.3,45.4833,63.19,87,0,7.58,MG,1686708727
192,el rosario,24.2556,-107.1828,82.76,55,3,7.43,MX,1686708727
193,port saint john's,-31.6229,29.5448,62.62,51,6,7.16,ZA,1686708727
194,bellbrook,39.6356,-84.0708,63.32,94,75,8.05,US,1686708727
195,nampula,-15.1165,39.2666,58.91,78,0,3.56,MZ,1686708727
196,fada,9.5667,8.3,69.1,93,87,1.12,NG,1686708728
197,garango,11.8,-0.5506,80.47,67,24,8.32,BF,1686708728
198,fale old settlement,-9.3852,-171.2468,83.46,75,81,7.63,TK,1686708728
199,phan thiet,10.9333,108.1,87.37,62,100,10.33,VN,1686708729
200,conception bay south,47.4999,-52.9981,42.75,94,52,6.78,CA,1686708636
201,princeville,45.7668,-61.2985,60.69,88,0,4.61,CA,1686708729
202,paka,4.6374,103.4368,84.78,71,55,3.27,MY,1686708729
203,flying fish cove,-10.4217,105.6791,78.48,88,100,12.66,CX,1686708729
204,petrolina,-9.3986,-40.5008,75.25,73,0,6.91,BR,1686708490
205,nova sintra,14.8667,-24.7167,70.14,84,6,10.6,CV,1686708730
206,lagonoy,13.7342,123.5207,89.24,62,100,3.69,PH,1686708730
207,tuzlukcu,38.4778,31.6264,59.41,78,100,2.77,TR,1686708731
208,kourou,5.1552,-52.6478,78.85,89,38,7.0,GF,1686708731
209,hamilton,39.1834,-84.5333,66.78,79,100,8.05,US,1686708686
210,beas de segura,38.2524,-2.8888,62.22,56,35,4.34,ES,1686708731
211,wakkanai,45.4094,141.6739,56.93,97,100,7.61,JP,1686708731
212,crane,31.3974,-102.3501,91.31,9,5,10.54,US,1686708732
213,beberibe,-4.1797,-38.1306,79.59,79,2,13.47,BR,1686708698
214,hailar,49.2,119.7,72.28,57,52,13.76,CN,1686708732
215,mabaruma,8.2,-59.7833,75.49,93,58,3.42,GY,1686708732
216,sinabang,2.4803,96.3801,83.88,67,98,3.51,ID,1686708733
217,balabac,7.9868,117.0645,86.95,68,100,9.1,PH,1686708733
218,fortuna,40.5982,-124.1573,57.92,93,100,10.36,US,1686708733
219,mlowo,-9.0,32.9833,57.22,65,9,5.68,TZ,1686708733
220,touros,-5.1989,-35.4608,74.89,86,25,10.22,BR,1686708733
221,kamiiso,41.8167,140.65,68.07,80,86,3.02,JP,1686708734
222,sandakan,5.8402,118.1179,82.96,76,100,4.85,MY,1686708734
223,dryden,49.7833,-92.7503,62.89,67,0,10.36,CA,1686708734
224,nchelenge,-9.3451,28.734,63.59,57,10,4.5,ZM,1686708734
225,riedlingen,48.1545,9.4756,52.21,81,5,4.61,DE,1686708483
226,bubaque,11.2833,-15.8333,81.48,81,99,10.47,GW,1686708735
227,saudarkrokur,65.7461,-19.6394,50.97,73,30,2.57,IS,1686708735
228,zouerate,22.7187,-12.4521,77.74,38,0,13.13,MR,1686708735
229,viedma,-40.8135,-62.9967,47.95,25,18,15.55,AR,1686708736
230,kingston,17.997,-76.7936,82.24,81,1,2.98,JM,1686708736
231,ixtapa,20.7,-105.2,83.43,65,40,6.91,MX,1686708736
232,debre mark'os,10.35,37.7333,54.5,86,100,3.22,ET,1686708736
233,nizhniy ingash,56.2,96.53,45.99,96,100,5.17,RU,1686708737
234,tucumcari,35.1717,-103.725,64.24,63,0,24.16,US,1686708737
235,shiqian,27.5225,108.2281,69.21,94,100,2.06,CN,1686708737
236,colonia,50.9333,6.95,63.82,62,0,3.44,DE,1686708592
237,jamestown,42.097,-79.2353,55.04,94,100,5.75,US,1686708708
238,nuuk,64.1835,-51.7216,36.21,69,100,9.22,GL,1686708738
239,palangkaraya,-2.2,113.8333,84.04,69,92,4.32,ID,1686708738
240,saint-joseph,-21.3667,55.6167,70.47,74,0,1.39,RE,1686708738
241,loppi,60.7167,24.45,51.48,69,85,3.13,FI,1686708738
242,markaz-e hukumat-e darweshan,31.1323,64.1934,84.36,14,0,8.97,AF,1686708738
243,island harbour,50.724,-1.2758,62.98,73,7,9.89,GB,1686708739
244,haiku-pauwela,20.9219,-156.3051,84.22,51,40,23.02,US,1686708739
245,safi,32.1667,-8.8333,62.73,77,28,14.29,MA,1686708739
246,palikir - national government center,6.9248,158.1611,86.85,79,100,8.05,FM,1686708739
247,vorgashor,67.5833,63.95,42.22,72,100,10.09,RU,1686708739
248,beyneu,45.3167,55.2,81.21,30,0,18.21,KZ,1686708740
249,aykhal,66.0,111.5,59.86,35,100,3.76,RU,1686708740
250,kyzyl,51.7,94.45,68.79,37,8,4.63,RU,1686708740
251,morant bay,17.8815,-76.4093,82.71,86,3,9.17,JM,1686708740
252,novouzensk,50.4592,48.1431,67.75,60,91,15.95,RU,1686708741
253,lumut,4.2323,100.6298,78.94,86,99,7.7,MY,1686708741
254,nagqu,31.5,92.0,42.73,72,100,7.11,CN,1686708741
255,urangan,-25.3,152.9,70.09,50,1,0.65,AU,1686708741
256,buriti bravo,-5.8372,-43.8336,76.57,58,48,4.03,BR,1686708553
257,harper,4.375,-7.7169,76.19,76,11,6.4,LR,1686708742
258,pontianak,-0.0333,109.3333,78.78,94,40,2.3,ID,1686708742
259,priozersk,61.0393,30.1291,57.09,76,100,1.99,RU,1686708742
260,vanimo,-2.6741,141.3028,85.48,66,98,3.49,PG,1686708492
261,juba,4.8517,31.5825,69.42,91,89,3.91,SS,1686708743
262,wahpeton,46.2652,-96.6059,75.92,38,0,8.05,US,1686708743
263,langzhong,31.5504,105.9938,79.65,65,100,4.59,CN,1686708743
264,tabou,4.423,-7.3528,76.01,77,24,5.97,CI,1686708743
265,tazovsky,67.4667,78.7,44.8,54,100,8.1,RU,1686708743
266,pudozh,61.8099,36.5345,53.22,68,100,4.23,RU,1686708744
267,west end,26.6833,-78.9667,82.38,75,98,7.29,BS,1686708744
268,ar rahad,12.7167,30.65,79.54,62,100,7.81,SD,1686708744
269,laojunmiao,39.8333,97.7333,75.13,13,8,13.2,CN,1686708744
270,sarkand,45.41,79.9186,69.48,42,99,4.56,KZ,1686708745
271,atafu village,-8.5421,-172.5159,83.53,75,21,8.37,TK,1686708745
272,saint-philippe,-21.3585,55.7679,71.19,74,0,2.84,RE,1686708745
273,sidney,-33.8679,151.2073,65.32,42,20,19.57,AU,1686708727
274,laascaanood,8.4774,47.3597,73.09,74,76,24.92,SO,1686708745
275,kargat,55.1956,80.2811,52.12,70,0,8.23,RU,1686708746
276,alvaraes,-3.2208,-64.8042,74.59,98,100,2.53,BR,1686708746
277,mannarakkat,10.9833,76.4667,79.88,88,80,4.18,IN,1686708555
278,urzhum,57.1141,49.9996,53.92,76,95,1.05,RU,1686708746
279,agat village,13.3886,144.6585,90.54,79,75,14.97,GU,1686708747
280,safotu,-13.4513,-172.4018,82.63,76,69,15.14,WS,1686708747
281,severo-yeniseyskiy,60.3725,93.0408,39.49,81,98,6.29,RU,1686708747
282,rajin,42.2489,130.3003,65.77,76,70,6.29,KP,1686708747
283,kalix,65.853,23.1565,51.26,60,50,1.88,SE,1686708747
284,lakatoro,-16.0999,167.4164,80.15,76,71,7.83,VU,1686708749
285,happy valley-goose bay,53.3168,-60.3315,50.31,81,75,3.44,CA,1686708749
286,broome,42.2506,-75.833,64.78,65,0,4.61,US,1686708749
287,loch garman,52.3342,-6.4575,61.9,88,4,3.0,IE,1686708749
288,lerwick,60.1545,-1.1494,55.4,78,28,8.43,GB,1686708750
289,oranjemund,-28.55,16.4333,53.87,83,34,2.82,NA,1686708750
290,jingzhou,30.3503,112.1903,83.1,59,100,4.14,CN,1686708750
291,evinayong,1.4368,10.5512,67.03,98,80,1.83,GQ,1686708750
292,aswan,24.0934,32.907,90.7,23,0,10.36,EG,1686708751
293,kenai,60.5544,-151.2583,57.29,57,0,26.46,US,1686708537
294,mhango,-3.2833,32.85,67.71,64,74,1.16,TZ,1686708751
295,tasqala,51.1167,50.3167,65.5,58,100,15.03,KZ,1686708751
296,fort bragg,35.139,-79.006,73.8,69,0,0.0,US,1686708715
297,paramonga,-10.6667,-77.8333,68.81,80,38,9.6,PE,1686708752
298,mutsu,41.2894,141.2169,69.08,77,91,3.27,JP,1686708752
299,madang,-5.2246,145.7966,85.28,68,100,3.38,PG,1686708752
300,sitka,57.0531,-135.33,51.69,76,100,9.22,US,1686708752
301,san rafael del yuma,18.4299,-68.6739,79.0,84,3,6.26,DO,1686708753
302,cabo san lucas,22.8909,-109.9124,85.3,51,0,4.61,MX,1686708753
303,klaksvik,62.2266,-6.589,47.32,62,100,6.93,FO,1686708753
304,marbella,36.5154,-4.8858,74.25,60,7,6.06,ES,1686708753
305,quang ngai,15.1167,108.8,86.76,64,100,3.53,VN,1686708753
306,laguna,38.421,-121.4238,84.31,54,0,11.5,US,1686708754
307,siuna,13.7332,-84.7773,75.22,96,8,2.86,NI,1686708558
308,bima,-8.4667,118.7167,83.77,61,97,4.85,ID,1686708754
309,tosontsengel,48.7567,98.2839,57.94,51,3,3.74,MN,1686708754
310,port augusta,-32.5,137.7667,60.91,51,5,9.89,AU,1686708755
311,nanao,37.05,136.9667,77.31,91,100,3.91,JP,1686708755
312,badagry,6.4167,2.8833,77.81,80,53,8.66,NG,1686708755
313,kailua-kona,19.6406,-155.9956,82.36,80,75,10.36,US,1686708755
314,dazhou,31.2159,107.5009,79.34,70,100,0.87,CN,1686708756
315,lauro de freitas,-12.8944,-38.3272,78.82,73,40,6.91,BR,1686708756
316,hirara,24.8,125.2833,80.73,87,100,20.71,JP,1686708756
317,santanyi,39.3546,3.1291,75.61,77,91,4.72,ES,1686708756
318,malpica,43.3228,-8.8105,62.37,82,100,1.34,ES,1686708756
319,maragogi,-9.0122,-35.2225,76.01,85,14,8.3,BR,1686708757
320,east london,-33.0153,27.9116,65.95,40,47,12.33,ZA,1686708757
321,kununurra,-15.7667,128.7333,84.18,26,10,10.36,AU,1686708757
322,salalah,17.0151,54.0924,82.49,94,100,6.91,OM,1686708707
323,ola,59.5833,151.2833,55.15,77,62,9.53,RU,1686708554
324,bulgan,48.8125,103.5347,56.28,78,79,3.4,MN,1686708758
325,salinopolis,-0.6136,-47.3561,79.12,85,71,11.5,BR,1686708758
326,battle ground,45.7809,-122.5334,72.07,61,37,4.0,US,1686708758
327,maridi,4.9158,29.4742,66.13,98,50,5.61,SS,1686708759
328,san antonio de pale,-1.4014,5.6325,76.39,86,10,13.0,GQ,1686708759
329,espinosa,-14.9261,-42.8192,67.75,58,16,4.85,BR,1686708759
330,codrington,-38.2667,141.9667,53.76,75,100,13.11,AU,1686708759
331,dali,25.7,100.1833,60.98,95,100,4.05,CN,1686708760
332,bereznik,62.8551,42.7072,57.34,69,38,4.63,RU,1686708760
333,coahuayana de hidalgo,18.7,-103.6583,79.39,80,18,2.77,MX,1686708760
334,yurimaguas,-5.9,-76.0833,73.87,95,46,1.12,PE,1686708761
335,nemuro,43.3236,145.575,56.03,96,100,9.44,JP,1686708761
336,rawson,-43.3002,-65.1023,46.96,31,100,8.5,AR,1686708645
337,severoural'sk,60.1533,59.952,61.43,60,100,8.93,RU,1686708761
338,puerto yuca,2.9383,-73.2083,73.74,97,100,1.34,CO,1686708762
339,sholokhovskiy,48.2807,41.0459,62.53,87,100,9.66,RU,1686708762
340,suva,-18.1416,178.4415,80.08,74,75,11.5,FJ,1686708464
341,ammon,43.4696,-111.9666,64.45,77,0,10.36,US,1686708762
342,karatau,43.1667,70.4667,76.8,23,4,2.08,KZ,1686708763
343,san felipe,10.3399,-68.7425,74.3,92,70,2.62,VE,1686708763
344,oyem,1.5995,11.5793,66.2,100,76,2.64,GA,1686708763
345,bat khela,34.6167,71.9714,83.52,44,0,5.44,PK,1686708763
346,dhemaji,27.4833,94.5833,80.67,88,84,10.58,IN,1686708764
347,ta`u,-14.2336,-169.5144,80.85,78,52,12.37,AS,1686708764
348,lincoln,40.8,-96.667,78.71,36,0,3.44,US,1686708644
